Order Date,Sales
2015-01-03,17.448
2015-01-04,289.06
2015-01-05,20.536
2015-01-06,4408.1
2015-01-07,88.15799999999999
2015-01-08,1.0
2015-01-09,41.544
2015-01-10,55.83
2015-01-11,10.94
2015-01-12,1.0
2015-01-13,3554.795
2015-01-14,62.96
2015-01-15,150.95
2015-01-16,300.964
2015-01-17,1.0
2015-01-18,65.864
2015-01-19,379.594
2015-01-20,2674.87
2015-01-21,1.0
2015-01-22,1.0
2015-01-23,41.08
2015-01-24,1.0
2015-01-25,1.0
2015-01-26,1098.25
2015-01-27,427.67
2015-01-28,4.928
2015-01-29,1.0
2015-01-30,241.5
2015-01-31,291.666
2015-02-01,469.9
2015-02-02,212.64600000000002
2015-02-03,98.11200000000001
2015-02-04,135.38400000000001
2015-02-05,1.0
2015-02-06,331.512
2015-02-07,181.32
2015-02-08,15.56
2015-02-09,1.0
2015-02-10,1.0
2015-02-11,2044.4
2015-02-12,130.568
2015-02-13,1.0
2015-02-14,577.726
2015-02-15,22.36
2015-02-16,10.04
2015-02-17,55.208
2015-02-18,38.784
2015-02-19,1.0
2015-02-20,96.59
2015-02-21,9.85
2015-02-22,20.44
2015-02-23,12.364
2015-02-24,56.672
2015-02-25,1.0
2015-02-26,1.0
2015-02-27,20.456
2015-02-28,1.0
2015-03-01,2204.151
2015-03-02,48.76
2015-03-03,1346.892
2015-03-04,371.452
2015-03-05,706.562
2015-03-06,1.0
2015-03-07,1562.062
2015-03-08,1.0
2015-03-09,1.0
2015-03-10,742.956
2015-03-11,919.3140000000001
2015-03-12,1.0
2015-03-13,1.0
2015-03-14,2109.55
2015-03-15,371.78200000000004
2015-03-16,472.92
2015-03-17,3961.358
2015-03-18,28107.716
2015-03-19,591.762
2015-03-20,1.0
2015-03-21,4110.816
2015-03-22,465.09299999999996
2015-03-23,946.064
2015-03-24,66.38
2015-03-25,460.146
2015-03-26,146.13
2015-03-27,1.0
2015-03-28,1494.216
2015-03-29,891.841
2015-03-30,1171.3220000000001
2015-03-31,1960.5520000000001
2015-04-01,120.88799999999999
2015-04-02,1459.558
2015-04-03,1.0
2015-04-04,476.84400000000005
2015-04-05,5180.738
2015-04-06,1651.69
2015-04-07,1022.1700000000001
2015-04-08,1959.75
2015-04-09,1.0
2015-04-10,1.0
2015-04-11,1916.2399999999998
2015-04-12,1873.443
2015-04-13,639.576
2015-04-14,1.0
2015-04-15,295.71999999999997
2015-04-16,40.072
2015-04-17,1.0
2015-04-18,1021.532
2015-04-19,206.47
2015-04-20,1251.45
2015-04-21,846.36
2015-04-22,258.752
2015-04-23,644.98
2015-04-24,1.0
2015-04-25,2380.9939999999997
2015-04-26,283.568
2015-04-27,1.0
2015-04-28,2579.476
2015-04-29,769.8439999999999
2015-04-30,1049.74
2015-05-01,1.0
2015-05-02,507.12
2015-05-03,73.632
2015-05-04,188.43200000000002
2015-05-05,261.977
2015-05-06,255.456
2015-05-07,1092.35
2015-05-08,1800.97
2015-05-09,395.47999999999996
2015-05-10,2344.799
2015-05-11,1643.802
2015-05-12,735.846
2015-05-13,899.382
2015-05-14,311.88
2015-05-15,1.0
2015-05-16,290.28
2015-05-17,92.68
2015-05-18,945.964
2015-05-19,92.62
2015-05-20,321.10400000000004
2015-05-21,4265.3279999999995
2015-05-22,181.93
2015-05-23,324.758
2015-05-24,117.28
2015-05-25,120.53999999999999
2015-05-26,1326.7179999999998
2015-05-27,2158.394
2015-05-28,222.96800000000002
2015-05-29,1.0
2015-05-30,1925.913
2015-05-31,774.7
2015-06-01,5189.5199999999995
2015-06-02,739.598
2015-06-03,532.16
2015-06-04,457.272
2015-06-05,1.0
2015-06-06,1375.001
2015-06-07,282.397
2015-06-08,2502.264
2015-06-09,5464.008
2015-06-10,492.55
2015-06-11,1.0
2015-06-12,1.0
2015-06-13,15.52
2015-06-14,213.94
2015-06-15,943.9739999999999
2015-06-16,764.792
2015-06-17,3357.4860000000003
2015-06-18,140.8
2015-06-19,1.0
2015-06-20,1829.9496
2015-06-21,4108.443
2015-06-22,1976.498
2015-06-23,110.49600000000001
